multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
1690,,LEG,307,R,The Tabernacle at Pendrell Vale,"",0.0,Land,Nicola Leonard,1592.65,,1769.8,,https://img.scryfall.com/cards/large/en/leg/307.jpg?1517813031,https://scryfall.com/card/leg/307/the-tabernacle-at-pendrell-vale
1075,,ATQ,81,R,Mishra's Workshop,"",0.0,Land,Kaja Foglio,1500.0,,1036.67,,https://img.scryfall.com/cards/large/en/atq/81.jpg?1517813031,https://scryfall.com/card/atq/81/mishras-workshop
427,,LEB,85,R,Timetwister,{2}{U},3.0,Sorcery,Mark Tedin,1483.85,,3550.63,,https://img.scryfall.com/cards/large/en/leb/85.jpg?1525124611,https://scryfall.com/card/leb/85/timetwister
984,,ARN,70,U,Bazaar of Baghdad,"",0.0,Land,Jeff A. Menges,1399.99,,800.0,,https://img.scryfall.com/cards/large/en/arn/70.jpg?1534549655,https://scryfall.com/card/arn/70/bazaar-of-baghdad
922,,ARN,29,R,Juzám Djinn,{2}{B}{B},4.0,Creature,Mark Tedin,1250.0,,922.07,,https://img.scryfall.com/cards/large/en/arn/29.jpg?1534550049,https://scryfall.com/card/arn/29/juz%C3%A1m-djinn
1460,,LEG,120,R,The Abyss,{3}{B},4.0,Enchantment,Pete Venters,1200.0,,577.44,,https://img.scryfall.com/cards/large/en/leg/120.jpg?1517813031,https://scryfall.com/card/leg/120/the-abyss
999,,ATQ,43,R,Candelabra of Tawnos,{1},1.0,Artifact,Douglas Shuler,799.99,,608.36,,https://img.scryfall.com/cards/large/en/atq/43.jpg?1517813031,https://scryfall.com/card/atq/43/candelabra-of-tawnos
1626,,LEG,28,R,Moat,{2}{W}{W},4.0,Enchantment,Jeff A. Menges,774.99,,609.21,,https://img.scryfall.com/cards/large/en/leg/28.jpg?1517813031,https://scryfall.com/card/leg/28/moat
1431,,LEG,91,R,Chains of Mephistopheles,{1}{B},2.0,Enchantment,Heather Hudson,742.24,,591.33,,https://img.scryfall.com/cards/large/en/leg/91.jpg?1517813031,https://scryfall.com/card/leg/91/chains-of-mephistopheles
886,,2ED,286,R,Underground Sea,"",0.0,Land,Rob Alexander,502.48,,773.33,,https://img.scryfall.com/cards/large/en/2ed/286.jpg?1525123795,https://scryfall.com/card/2ed/286/underground-sea
1525,,LEG,185,R,Eureka,{2}{G}{G},4.0,Sorcery,Kaja Foglio,500.0,,360.0,,https://img.scryfall.com/cards/large/en/leg/185.jpg?1517813031,https://scryfall.com/card/leg/185/eureka
944,,ARN,47,R,Drop of Honey,{G},1.0,Enchantment,Anson Maddocks,499.99,,408.33,,https://img.scryfall.com/cards/large/en/arn/47.jpg?1534549749,https://scryfall.com/card/arn/47/drop-of-honey
987,,ARN,73,U,Diamond Valley,"",0.0,Land,Brian Snõddy,449.99,,226.65,,https://img.scryfall.com/cards/large/en/arn/73.jpg?1534549621,https://scryfall.com/card/arn/73/diamond-valley
1453,,LEG,113,R,Nether Void,{3}{B},4.0,Enchantment,Harold McNeill,449.99,,400.0,,https://img.scryfall.com/cards/large/en/leg/113.jpg?1517813031,https://scryfall.com/card/leg/113/nether-void
1385,,3ED,291,R,Volcanic Island,"",0.0,Land,Brian Snõddy,425.99,,253.52,,https://img.scryfall.com/cards/large/en/3ed/291.jpg?1517813031,https://scryfall.com/card/3ed/291/volcanic-island
611,,2ED,244,R,Forcefield,{3},3.0,Artifact,Dan Frazier,414.75,,252.09,,https://img.scryfall.com/cards/large/en/2ed/244.jpg?1525123270,https://scryfall.com/card/2ed/244/forcefield
957,,ARN,36,R,Ali from Cairo,{2}{R}{R},4.0,Creature,Mark Poole,399.99,,239.22,,https://img.scryfall.com/cards/large/en/arn/36.jpg?1534549534,https://scryfall.com/card/arn/36/ali-from-cairo
1488,,LEG,62,R,Invoke Prejudice,{U}{U}{U}{U},4.0,Enchantment,Harold McNeill,362.99,,220.0,,https://img.scryfall.com/cards/large/en/leg/62.jpg?1517813031,https://scryfall.com/card/leg/62/invoke-prejudice
10422,11867,USG,321,R,Gaea's Cradle,"",0.0,Land,Mark Zug,351.4,,187.54,6.22,https://img.scryfall.com/cards/large/en/usg/321.jpg?1532086665,https://scryfall.com/card/usg/321/gaeas-cradle
1414,,LEG,287,R,Mirror Universe,{6},6.0,Artifact,Phil Foglio,349.0,,190.0,,https://img.scryfall.com/cards/large/en/leg/287.jpg?1517813031,https://scryfall.com/card/leg/287/mirror-universe
1428,,LEG,88,R,All Hallow's Eve,{2}{B}{B},4.0,Sorcery,Christopher Rush,318.2,,208.96,,https://img.scryfall.com/cards/large/en/leg/88.jpg?1517813031,https://scryfall.com/card/leg/88/all-hallows-eve
918,,ARN,26,R,Guardian Beast,{3}{B},4.0,Creature,"Ken Meyer, Jr.",299.59,,242.0,,https://img.scryfall.com/cards/large/en/arn/26.jpg?1534549475,https://scryfall.com/card/arn/26/guardian-beast
612,,2ED,245,R,Gauntlet of Might,{4},4.0,Artifact,Christopher Rush,298.86,,364.99,,https://img.scryfall.com/cards/large/en/2ed/245.jpg?1525123290,https://scryfall.com/card/2ed/245/gauntlet-of-might
1383,,3ED,289,R,Tundra,"",0.0,Land,Jesper Myrfors,297.92,,183.62,,https://img.scryfall.com/cards/large/en/3ed/289.jpg?1517813031,https://scryfall.com/card/3ed/289/tundra
973,,ARN,5,R,Jihad,{W}{W}{W},3.0,Enchantment,Brian Snõddy,289.53,,117.45,,https://img.scryfall.com/cards/large/en/arn/5.jpg?1534549959,https://scryfall.com/card/arn/5/jihad
1377,,3ED,283,R,Bayou,"",0.0,Land,Jesper Myrfors,271.65,,167.59,,https://img.scryfall.com/cards/large/en/3ed/283.jpg?1517813031,https://scryfall.com/card/3ed/283/bayou
937,,ARN,18,R,Old Man of the Sea,{1}{U}{U},3.0,Creature,Susan Van Camp,270.39,,117.53,,https://img.scryfall.com/cards/large/en/arn/18.jpg?1534549429,https://scryfall.com/card/arn/18/old-man-of-the-sea
,,J16,6,R,Imperial Seal,{B},1.0,Sorcery,Li Tie,,264.18,149.98,,https://img.scryfall.com/cards/large/en/j16/6.jpg?1517813031,https://scryfall.com/card/j16/6/imperial-seal
904,,ARN,60,R,City in a Bottle,{2},2.0,Artifact,Drew Tucker,259.99,,253.99,,https://img.scryfall.com/cards/large/en/arn/60.jpg?1534549691,https://scryfall.com/card/arn/60/city-in-a-bottle
1643,,LEG,217,R,Angus Mackenzie,{G}{W}{U},3.0,Creature,Bryon Wackwitz,231.29,,149.55,,https://img.scryfall.com/cards/large/en/leg/217.jpg?1517813031,https://scryfall.com/card/leg/217/angus-mackenzie
989,,ARN,75,R,Island of Wak-Wak,"",0.0,Land,Douglas Shuler,229.99,,111.05,,https://img.scryfall.com/cards/large/en/arn/75.jpg?1534549766,https://scryfall.com/card/arn/75/island-of-wak-wak
10510,,PTK,131,R,Zodiac Dragon,{7}{R}{R},9.0,Creature,Qi Baocheng,225.23,,69.54,,https://img.scryfall.com/cards/large/en/ptk/131.jpg?1517813031,https://scryfall.com/card/ptk/131/zodiac-dragon
1637,,LEG,39,R,Thunder Spirit,{1}{W}{W},3.0,Creature,Randy Asplund-Faith,210.09,,116.66,,https://img.scryfall.com/cards/large/en/leg/39.jpg?1517813031,https://scryfall.com/card/leg/39/thunder-spirit
5193,10325,STH,138,R,Mox Diamond,{0},0.0,Artifact,Dan Frazier,209.82,,110.92,19.78,https://img.scryfall.com/cards/large/en/sth/138.jpg?1517813031,https://scryfall.com/card/sth/138/mox-diamond
20359,,S99,79,R,Grim Tutor,{1}{B}{B},3.0,Sorcery,Mark Tedin,206.38,,167.8,,https://img.scryfall.com/cards/large/en/s99/79.jpg?1519659748,https://scryfall.com/card/s99/79/grim-tutor
6168,10685,EXO,143,R,City of Traitors,"",0.0,Land,Kev Walker,200.8,,124.48,24.16,https://img.scryfall.com/cards/large/en/exo/143.jpg?1517813031,https://scryfall.com/card/exo/143/city-of-traitors
1533,,LEG,193,R,Living Plane,{2}{G}{G},4.0,Enchantment,Bryon Wackwitz,192.96,,135.03,,https://img.scryfall.com/cards/large/en/leg/193.jpg?1517813031,https://scryfall.com/card/leg/193/living-plane
97048,,PHPR,5,R,Mana Crypt,{0},0.0,Artifact,Mark Tedin,183.87,,,,https://img.scryfall.com/cards/large/en/phpr/5.jpg?1517813031,https://scryfall.com/card/phpr/5/mana-crypt
988,,ARN,74,R,Elephant Graveyard,"",0.0,Land,Rob Alexander,179.99,,96.58,,https://img.scryfall.com/cards/large/en/arn/74.jpg?1534549778,https://scryfall.com/card/arn/74/elephant-graveyard
974,,ARN,6,R,King Suleiman,{1}{W},2.0,Creature,Mark Poole,179.39,,103.3,,https://img.scryfall.com/cards/large/en/arn/6.jpg?1534549576,https://scryfall.com/card/arn/6/king-suleiman
3255,7103,MIR,307,R,Lion's Eye Diamond,{0},0.0,Artifact,Margaret Organ-Kean,175.17,,119.79,6.37,https://img.scryfall.com/cards/large/en/mir/307.jpg?1517813031,https://scryfall.com/card/mir/307/lions-eye-diamond
617,,2ED,250,R,Illusionary Mask,{2},2.0,Artifact,Amy Weber,174.99,,90.03,,https://img.scryfall.com/cards/large/en/2ed/250.jpg?1525123359,https://scryfall.com/card/2ed/250/illusionary-mask
