multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
413599,60641,EMA,57,M,"Jace, the Mind Sculptor",{2}{U}{U},4.0,Planeswalker,Jason Chan,113.77,170.52,91.76,53.74,https://img.scryfall.com/cards/large/en/ema/57.jpg?1519048180,https://scryfall.com/card/ema/57/jace-the-mind-sculptor
426069,63197,MM3,244,R,Scalding Tarn,"",0.0,Land,Philip Straub,93.22,124.15,73.78,17.94,https://img.scryfall.com/cards/large/en/mm3/244.jpg?1535416220,https://scryfall.com/card/mm3/244/scalding-tarn
397719,57258,MM2,223,M,Mox Opal,{0},0.0,Artifact,Volkan Baǵa,88.73,107.41,68.23,37.72,https://img.scryfall.com/cards/large/en/mm2/223.jpg?1517813031,https://scryfall.com/card/mm2/223/mox-opal
425901,63283,MM3,76,M,Liliana of the Veil,{1}{B}{B},3.0,Planeswalker,Steve Argyle,74.88,121.75,64.04,39.61,https://img.scryfall.com/cards/large/en/mm3/76.jpg?1517813031,https://scryfall.com/card/mm3/76/liliana-of-the-veil
193400,34704,ZEN,229,R,Verdant Catacombs,"",0.0,Land,Vance Kovacs,71.74,135.09,40.09,10.18,https://img.scryfall.com/cards/large/en/zen/229.jpg?1517813031,https://scryfall.com/card/zen/229/verdant-catacombs
391948,55364,FRF,1,M,"Ugin, the Spirit Dragon",{8},8.0,Planeswalker,Raymond Swanland,69.31,155.27,54.52,0.35,https://img.scryfall.com/cards/large/en/frf/1.jpg?1517813031,https://scryfall.com/card/frf/1/ugin-the-spirit-dragon
370413,48864,MMA,75,M,Dark Confidant,{1}{B},2.0,Creature,Scott M. Fischer,69.15,81.14,43.71,7.69,https://img.scryfall.com/cards/large/en/mma/75.jpg?1517813031,https://scryfall.com/card/mma/75/dark-confidant
426065,63199,MM3,240,R,Misty Rainforest,"",0.0,Land,Shelly Wan,68.55,90.02,42.47,10.62,https://img.scryfall.com/cards/large/en/mm3/240.jpg?1546109249,https://scryfall.com/card/mm3/240/misty-rainforest
221563,39587,MBS,99,M,Blightsteel Colossus,{12},12.0,Creature,Chris Rahn,62.85,144.08,34.62,1.21,https://img.scryfall.com/cards/large/en/mbs/99.jpg?1517813031,https://scryfall.com/card/mbs/99/blightsteel-colossus
438806,66359,IMA,240,R,Horizon Canopy,"",0.0,Land,Noah Bradley,61.67,76.18,47.35,29.44,https://img.scryfall.com/cards/large/en/ima/240.jpg?1530592713,https://scryfall.com/card/ima/240/horizon-canopy
278058,44245,AVR,226,R,Cavern of Souls,"",0.0,Land,Cliff Childs,60.86,166.6,50.89,14.93,https://img.scryfall.com/cards/large/en/avr/226.jpg?1517813031,https://scryfall.com/card/avr/226/cavern-of-souls
397828,57310,MM2,4,M,Karn Liberated,{7},7.0,Planeswalker,Jason Chan,60.26,82.36,50.14,30.55,https://img.scryfall.com/cards/large/en/mm2/4.jpg?1517813031,https://scryfall.com/card/mm2/4/karn-liberated
227676,42512,ISD,78,R,Snapcaster Mage,{1}{U},2.0,Creature,Volkan Baǵa,59.53,154.64,47.8,7.51,https://img.scryfall.com/cards/large/front/9/e/9e5b279e-4670-4a1e-87d0-3cab7e4f9e58.jpg?1545407587,https://scryfall.com/card/isd/78/snapcaster-mage
370411,48920,MMA,203,R,Chalice of the Void,{X}{X},0.0,Artifact,Mark Zug,55.49,65.0,34.62,27.6,https://img.scryfall.com/cards/large/en/mma/203.jpg?1517813031,https://scryfall.com/card/mma/203/chalice-of-the-void
140216,28463,LRW,259,R,Rings of Brighthearth,{3},3.0,Artifact,Howard Lyon,55.43,64.41,16.71,0.03,https://img.scryfall.com/cards/large/en/lrw/259.jpg?1517813031,https://scryfall.com/card/lrw/259/rings-of-brighthearth
136146,26850,FUT,158,R,Sliver Legion,{W}{U}{B}{R}{G},5.0,Creature,Ron Spears,54.97,124.16,23.27,0.04,https://img.scryfall.com/cards/large/en/fut/158.jpg?1517813031,https://scryfall.com/card/fut/158/sliver-legion
