multiverse_id,mtgo_id,set,collector_number,Rarity,Name,Mana Cost,Converted Mana Cost,Type Line,artist,USD Price,USD Foil Price,eur_price,tix_price,image_uri,scryfall_uri
443095,67879,DOM,207,M,"Teferi, Hero of Dominaria",{3}{W}{U},5.0,Legendary Planeswalker — Teferi,Chris Rallis,37.28,83.0,34.16,15.99,https://img.scryfall.com/cards/large/front/5/d/5d10b752-d9cb-419d-a5c4-d4ee1acb655e.jpg?1544189923,https://scryfall.com/card/dom/207/teferi-hero-of-dominaria
461024,71800,WAR,97,M,"Liliana, Dreadhorde General",{4}{B}{B},6.0,Legendary Planeswalker — Liliana,Chris Rallis,27.29,54.99,13.14,11.37,https://img.scryfall.com/cards/large/front/d/7/d75ebba8-34ca-47a0-bf13-8318ad73b343.jpg?1555740717,https://scryfall.com/card/war/97/liliana-dreadhorde-general
447354,68597,M19,218,M,"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",{1}{U}{B}{R},4.0,Legendary Creature — Elder Dragon // Legendary Planeswalker — Bolas,Svetlin Velinov,26.58,52.6,15.91,3.09,https://img.scryfall.com/cards/large/en/m19/218a.jpg?1542329383,https://scryfall.com/card/m19/218/nicol-bolas-the-ravager-nicol-bolas-the-arisen
461134,72020,WAR,207,M,"Nicol Bolas, Dragon-God",{U}{B}{B}{B}{R},5.0,Legendary Planeswalker — Bolas,Raymond Swanland,23.79,62.97,15.27,4.87,https://img.scryfall.com/cards/large/front/9/8/98b68dea-a7be-4f99-8a50-4c8cf0e0f7a9.jpg?1555741310,https://scryfall.com/card/war/207/nicol-bolas-dragon-god
439844,66827,RIX,180,M,The Immortal Sun,{6},6.0,Legendary Artifact,Kieran Yanner,22.28,42.25,16.25,2.51,https://img.scryfall.com/cards/large/front/a/d/adeccd88-8dc0-4cc1-943f-27d540d248bb.jpg?1555041035,https://scryfall.com/card/rix/180/the-immortal-sun
450253,68145,M19,306,M,Nexus of Fate,{5}{U}{U},7.0,Instant,Mike Bierek,,19.25,7.12,13.63,https://img.scryfall.com/cards/large/en/m19/306.jpg?1550201557,https://scryfall.com/card/m19/306/nexus-of-fate
460980,71712,WAR,53,M,God-Eternal Kefnet,{2}{U}{U},4.0,Legendary Creature — Zombie God,Lius Lasahido,17.95,31.55,9.46,13.03,https://img.scryfall.com/cards/large/front/5/e/5e14060f-9167-4e28-a053-77689e066e30.jpg?1555740489,https://scryfall.com/card/war/53/god-eternal-kefnet
457327,71366,RNA,183,M,Hydroid Krasis,{X}{G}{U},2.0,Creature — Jellyfish Hydra Beast,Jason Felix,17.62,30.05,14.58,14.62,https://img.scryfall.com/cards/large/front/8/0/801dd9c6-b159-4e1c-af2c-214c1f573633.jpg?1549414847,https://scryfall.com/card/rna/183/hydroid-krasis
442889,67467,DOM,1,M,"Karn, Scion of Urza",{4},4.0,Legendary Planeswalker — Karn,Chase Stone,17.37,39.11,15.41,3.75,https://img.scryfall.com/cards/large/en/dom/1.jpg?1524789999,https://scryfall.com/card/dom/1/karn-scion-of-urza
447366,68621,M19,229,M,Crucible of Worlds,{3},3.0,Artifact,Ron Spencer,16.6,25.63,9.4,0.96,https://img.scryfall.com/cards/large/en/m19/229.jpg?1531451273,https://scryfall.com/card/m19/229/crucible-of-worlds
